Qty,Value,Device,Package,Parts,Description,DIGIKEY,DISP,MF,MPN,VALUE,VALUE_PART
4,CONN_32.54_SCREW,CONN_32.54_SCREW,1X03_SCREW,"J1, J2, J11, J12",Genaric 3 terminal header,ED10562-ND,,On Shore,OSTVN03A150,,
4,CONN_42.54_SCREW,CONN_42.54_SCREW,1X04_SCREW,"J6, J7, J8, J10",Genaric 4 terminal header,ED10563-ND,,On Shore,OSTVN04A150,,
1,CONN_5,CONN_5,1X05,J4,Genaric 5 terminal header,ED10564-ND,,On Shore,OSTVN05A150,,
1,CONN_62.54,CONN_62.54,1X06,J13,Genaric 6 terminal header,,,,,,
1,DMG3404,MOSFET-NCH-DMG3404L,SOT23-3,Q1,N-channel MOSFETs,DMG3404L-7DICT-ND,,Diodes Incorporated,DMG3404L-7,DMG3404,
1,DS3231M,DS3231M,SO08,RTC1,DS3231M Real Time Clock,DS3231MZ+-ND,,Maxim,DS3231MZ+,,
1,FEATHERWING_NODIM,FEATHERWING_NODIM,FEATHERWING_DIM,MS1,,,,,,,
2,INA219DCN,INA219DCN,DCN_R-PDSO-G8,"U13, U14",INA219 - Zero Drift Bidirectional Current/Power Monitor with I2C Interface,296-23770-1-ND,,TI,INA219AIDCNR,,
1,JUMPER-SMT_2_NO_SILK,JUMPER-SMT_2_NO_SILK,SMT-JUMPER_2_NO_SILK,JP1,Normally open jumper,,,,,,
1,LTC2054,LTC2054,SOT23-5,U5,LTC2054 -Single Micropower Zero Drift Op-Amp,LTC2054HS5#TRMPBFCT-ND,LTC2054,LT,LTC2054HS5#TRMPBF,,
1,MAX31856_BREAKOUT,MAX31856_BREAKOUT,MAX31856_BREAKOUT,XU1,Socket for MAX31856 Breakout from Adafruit,,,,,,
1,MCP23018QFN,MCP23018QFN,QFN24,U11,"MCP23018 - I2C I/O Expander, 16 bit wtih interrupt and reset",MCP23018T-E/MJCT-ND,,TI,MCP23018T-E/MJ,,
2,MIC2544MSOP,MIC2544MSOP,MSOP_8,"U3, U4","MIC2544/48 - Hight Side Load Switch, with Adjustable Current Limit",576-1738-5-ND,,Microchip,MIC2544-1YMM,,
1,MICROSD_NOCDHINDGED,MICROSD_NOCDHINDGED,USD_MOLEX_HINDGED,SD1,"Micro-SD / Transflash card holder with SPI pinout, No Card Detect",WM6698CT-ND,,Molex,472192001,,
1,POLOLU_REGULATOR,POLOLU_REGULATOR,U1V10FX_REGULATOR,U$1,,,,,,,
1,POTENTIOMETER3214W,POTENTIOMETER3214W,POT_3214W,VR1,Genaric potentiometer,3214W-1-204ECT-ND,,Bourns,3214W-1-204E,,
1,PPTC100MA1210,PPTC100MA1210,1210_BOURNS,F1,Resettable Fuse PPTC,MF-USMF005-2CT-ND,,Bourns,MF-USMF005-2,,
1,SN74AUP1G34SC70,SN74AUP1G34SC70,DCK_R-PDSO-G5,U2,SN74AUP1G34 - Logic Buffer,296-17230-1-ND,,TI,SN74LVC1G34DCKR,,
1,TLV3691DCK,TLV3691DCK,DCK_R-PDSO-G5,U12,TLV3691 - Nanopower Analog Comparator,296-37910-1-ND,,TI,TLV3691IDCKR,,
1,TPS62200SOT23,TPS62200SOT23,DBV0005A,U1,TPS6220x - High Efficiency Synchronous Step-Down Converter (Buck),296-12716-1-ND,TPS62200,TI,TPS62200DBVR,,
1,2.2nF,,,,,311-1081-1-ND,,Yageo,CC0603KRX7R9BB222,,
1,380pF,,,,,311-1188-1-ND,,Yageo,CC0603KRX7R9BB681,,
